kelime,frekans
xamztargetawsgluecreateuserdefinedfunction,1
xamztargetawsgluegetblueprint,1
xamztargetawsgluecreateworkflow,1
xamztargetawsgluedeleteblueprint,1
xamztargetawsgluedeleteclassifier,1
xamztargetawsgluedeletecolumnstatisticsforpartition,1
xamztargetawsgluedeletecolumnstatisticsfortable,1
xamztargetawsgluedeleteconnection,1
xamztargetawsgluedeletecrawler,1
xamztargetawsgluedeletecustomentitytype,1
xamztargetawsgluedeletedataqualityruleset,1
xamztargetawsgluedeletedatabase,1
xamztargetawsgluedeletedevendpoint,1
xamztargetawsgluegetblueprintrun,1
xamztargetawsgluedeleteworkflow,1
xamztargetawsgluegetcolumnstatisticsfortable,1
xamztargetawsgluebatchgetpartition,1
xamztargetawsgluebatchcreatepartition,1
xamztargetawsgluebatchdeleteconnection,1
xamztargetawsgluebatchdeletepartition,1
xamztargetawsgluebatchgetworkflows,1
xamztargetawsgluebatchdeletetable,1
xamztargetawsgluebatchgetblueprints,1
xamztargetawsgluebatchgetcrawlers,1
xamztargetawsgluebatchgetcustomentitytypes,1
xamztargetawsgluebatchgetdataqualityresult,1
xamztargetawsgluebatchgetdevendpoints,1
xamztargetawsgluebatchgetjobs,1
xamztargetawsgluebatchdeletetableversion,1
xamztargetawsgluedeletetrigger,1
xamztargetawsgluecreateregistry,1
xamztargetawsgluecreateschema,1
xamztargetawsgluecreatescript,1
xamztargetawsgluedeleteresourcepolicy,1
xamztargetawsgluedeleteschema,1
xamztargetawsgluedeleteschemaversions,1
xamztargetawsgluedeletesecurityconfiguration,1
xamztargetawsgluedeletesession,1
xamztargetawsgluedeletetable,1
xamztargetawsgluedeletetableversion,1
xamztargetawsgluedeleteregistry,1
xamztargetawsgluedeletejob,1
operationcanceljobactioncanceljob,1
xamztargettrentservicereplicatekey,1
xamztargettrentservicecreatecustomkeystore,1
describemediastorageconfiguration,1
sendalexaoffertomaster,1
createsignalingchannel,1
createstream,1
deleteedgeconfiguration,1
deletesignalingchannel,1
deletestream,1
describeedgeconfiguration,1
describeimagegenerationconfiguration,1
joinstoragesession,1
getclip,1
xamztargettrentservicecreatekey,1
getmedia,1
xamztargettrentservicegetparametersforimport,1
xamztargettrentservicegetpublickey,1
xamztargettrentserviceimportkeymaterial,1
xamztargettrentservicelistaliases,1
xamztargettrentservicelistgrants,1
xamztargettrentservicelistkeypolicies,1
xamztargettrentservicelistkeys,1
xamztargettrentservicegetkeyrotationstatus,1
xamztargettrentservicelistresourcetags,1
xamztargettrentserviceputkeypolicy,1
xamztargettrentservicereencrypt,1
geticeserverconfig,1
listfragments,1
operationcreatejobactioncreatejob,1
updateimagegenerationconfiguration,1
operationgetshippinglabelactiongetshippinglabel,1
describestream,1
getdataendpoint,1
getsignalingchannelendpoint,1
listedgeagentconfigurations,1
listsignalingchannels,1
listtagsforstream,1
startedgeconfigurationupdate,1
describesignalingchannel,1
tagstream,1
updatedataretention,1
updatemediastorageconfiguration,1
getmediaforfragmentlist,1
updatesignalingchannel,1
updatestream,1
xamztargettrentservicecancelkeydeletion,1
xamztargettrentserviceconnectcustomkeystore,1
untagstream,1
xamztargettrentservicecreatealias,1
describenotificationconfiguration,1
describemappedresourceconfiguration,1
getdashstreamingsessionurl,1
gethlsstreamingsessionurl,1
getimages,1
provisionedcapacity,1
xamztargetgameliftstopmatchmaking,1
xamztargetawslicensemanagerupdatelicensemanagerreportgenerator,1
actiondeleteservercertificate,1
actiondeleteinstanceprofile,1
actiongeneratecredentialreport,1
actiondetachuserpolicy,1
actiondeleteopenidconnectprovider,1
actiondeletepolicyversion,1
actiondeleterole,1
actiondeleterolepermissionsboundary,1
actiondeleterolepolicy,1
actiondeletesamlprovider,1
actiondeletesshpublickey,1
actionenablemfadevice,1
actiondeleteservicespecificcredential,1
actiongetpolicy,1
actiondeletesigningcertificate,1
actiondeleteuserpermissionsboundary,1
actiondeleteuserpolicy,1
actiondeletevirtualmfadevice,1
actiondetachgrouppolicy,1
