kelime,frekans
microsoftmigrate,68
governanceresourceid,68
sharedwithchannelteaminfoid,68
remove,68
agreementid,68
platform,68
employmentid,67
lock,67
accesspackage,67
wireless,67
dns,67
character,67
networkinterfacename,67
url,67
statistic,67
resourcespecificpermissiongrantid,66
inventory,66
microsoftgraphendpoint,66
greengrass,66
microsoftdatashare,66
legalentities,66
connectionname,66
clusterid,66
characterid,66
bot,66
usql,66
reservationorders,66
custodian,66
intent,66
switch,65
fabriclocations,65
eventsstore,65
queue,65
webjobname,64
keyid,64
collectionid,64
columndefinitionid,64
microsoftfabricadmin,64
patient,64
archive,64
tablename,64
branding,64
grant,64
routefiltername,63
web,63
pub,63
budget,63
billingprofilename,63
restservice,63
cart,63
reporthealth,63
reservationorderid,63
topictypes,63
collectionrid,63
datasetid,63
origin,62
currency,62
option,62
microsoftdbforpostgresql,62
cartid,62
metricdefinitions,62
follower,62
policyassignments,62
directoryroleid,62
applicationtypename,62
school,62
tagmanager,62
oauth,61
invoiceid,61
jobscheduleid,61
appliance,61
videoid,61
asclocation,61
backendservices,60
microsoftadhybridhealthservice,60
microsoftoperationalinsights,60
gpgkeys,60
year,60
meetingid,60
connectionmonitorname,60
packagetype,60
parentsectiongroup,60
prereceiveenvironments,60
microsoftcontainerinstance,60
mobileapps,60
view,59
dashboard,59
imagestore,59
capacitypools,59
flow,59
hostname,59
department,59
storage,59
idboard,59
login,59
regeneratekey,58
managedinstances,58
replicaid,58
translate,58
track,58
generate,58
usagedetails,58
alertnumber,57
artifactid,57
assessment,57
operationresults,57
keyname,57
blobservices,57
sku,57
applicationgatewayavailablessloptions,57
checksuiteid,57
microsoftcertificateregistration,57
vmware,57
password,57
catalogsystem,57
secretscanning,57
experimentname,57
setlabels,56
ldap,56
current,56
roledefinition,56
microsoftgraphrestore,56
folderid,56
teamsappinstallationid,56
contributor,56
router,56
devicecompliancepolicies,56
invitationid,56
provisioningservices,55
sha,55
annotation,55
topicname,55
virtualhubs,55
registeredowners,55
offering,55
triggername,55
microsoftgraphadd,55
deploymentmanager,55
solution,54
issueid,54
topictypename,54
alertid,54
environmentid,54
b,54
directreports,54
register,54
recording,54
taskprocessingresults,54
firewall,54
localnetworkgateways,53
error,53
sessionid,53
managedinstancename,53
trace,53
voice,53
send,53
securityrules,52
serviceannouncement,52
bookingbusinesses,52
registeredusers,52
charge,52
microsoftgraphpreview,52
onpremisespublishingprofiles,52
taskgroups,52
match,52
forecast,52
graph,52
sharedkey,52
host,52
conditionalaccess,52
idmember,52
microsoftgraphvalidateproperties,52
runname,52
webinars,51
addons,51
place,51
fork,51
partnerid,51
functionname,51
allowedmembers,51
networkendpointgroups,51
cloudendpoints,51
threadid,51
organizer,51
iteration,51
deletedteams,51
policydefinitions,51
gene,51
accesspackageresources,51
strategy,51
backuppolicies,51
applicationsecuritygroups,51
androidenterprise,51
segment,51
quoteid,51
module,50
meta,50
cardid,50
shipment,50
securitypolicy,50
certificateorders,50
backupfabrics,50
microsoftgraphgetbyids,50
onpremisespublishingprofileid,50
virtualnetworkconnections,50
serviceendpointpolicies,50
microsoftgraphcopytosection,50
replicationprotecteditems,50
tenantid,50
snapshotid,50
accounting,50
salesorders,50
parentsection,50
monitoring,50
microsoftgraphonenotepatchcontent,50
recover,50
appsid,50
reportid,50
booking,50
microsoftdomainregistration,50
policyname,49
management,49
aggregate,49
checkrunid,49
gmail,49
assetid,49
composedeployments,49
templateid,49
consumer,49
activate,49
question,49
invoicesections,49
score,49
reference,49
conversationmemberid,48
microsoftkeyvault,48
microsoftnotificationhubs,48
knowledgebasearticles,48
lookup,48
deletedteamid,48
machine,48
study,48
outlooktaskgroupid,48
bookingbusinessid,48
executionid,48
microsoftanalysisservices,48
deviceconfigurations,48
price,47
filename,47
movie,47
gateway,47
record,47
album,47
presence,47
offeringid,47
microsofthdinsight,47
organizerkey,47
distribution,47
blob,47
accesspackageassignmentpolicyid,46
